Ime,Cena,Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
The Ellery Pullover,£2.66,Sweaters,Independent Designer,Ruby Webbs,English,1,,Intermediate
Anthera Tapestry Bag,£3.48,Accessories,Independent Designer,Chabepatterns,English,1,16,Intermediate
Party Wristlets in Caron Simply Soft Party - Downloadable PDF,£0.00,Gloves & Mittens,Caron,Cari Clement,English,1,2,Beginner
Baltic Flowers Cowl,£4.57,Accessories,Independent Designer,Hobbyist on the Road,English,1,,Intermediate
The Haru Hat by merkai studios. Crochet bucket / sun hat,£3.50,Accessories,Independent Designer,merkai studios,English,1,6,Beginner
Peaks Crochet Tank Top,£0.00,Tops,Independent Designer,Hooked by Anna,English,1,5,Intermediate
Hattie Tee,£6.75,Tops,Independent Designer,Holly Woodward Designs,English,1,16,Intermediate
Crochet Baby Blanket - Baby Lion,£3.20,Homeware,Independent Designer,Pattern World,English,1,6,Intermediate
Amigurumi Dog & Puppy,£2.10,Toys,Independent Designer,Dreamweave Creations,English,1,21,Intermediate
Zepplin Scarf in Universal Yarn Major - Downloadable PDF,£0.00,Scarves & Shawls,Universal Yarn,Universal Yarn Design Team,English,1,2,Intermediate
Button Up Waves Hooded Cocoon,£4.44,Homeware,Independent Designer,Sweet Potato 3,English,1,3,Intermediate
Cosy Collar Cardigan,£4.99,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,34,Intermediate
Beehive,£3.70,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
Cardigans in Sirdar Wash 'n' Wear Double Crepe DK - 9741 - Downloadable PDF,£3.85,Cardigans,Sirdar,,English,1,4,
Sunflower crochet pattern keyring Amigurumi flower keychain Bag charm Crochet car mirror hanging,£2.50,Amigurumi,Independent Designer,Viktoria Petakh,English,1,7,Beginner
Jesenia crochet buttoned shawl/poncho 2 in 1,£4.81,Ponchos,Independent Designer,Kyla Zoran,English,1,10,Intermediate
Pinwheel Square,£0.00,Homeware,Independent Designer,Laurinda Reddig,English,1,3,Intermediate
Cobalt Sweater in Sirdar Country Style 4 Ply - 7227 - Downloadable PDF,£3.85,Sweaters,Sirdar,,English,1,4,
Spitfire Inspired Military Aircraft,£3.99,Toys,Independent Designer,Kristine Kuluka,English,1,13,Intermediate
Miss Rabbit – Duck Boy,£0.89,Toys,Independent Designer,KaiaCrochet,English,1,10,Intermediate
Bella Bralette,£4.27,Tops,Independent Designer,Marlee Gallina,English,1,6,Intermediate
Bobbing Along Blanket,£4.00,Homeware,Independent Designer,Sandra Paul,English,1,,Intermediate
Chubby Bee,£0.00,Toys,Independent Designer,anniegurumi,English,1,4,Intermediate
Lilo and Stitch Minnie and Mickey Head,£2.59,Homeware,Independent Designer,Olga Tarasova,English,1,9,Beginner
Lace Border Blanket To Crochet in Bernat Baby Sport,£0.00,Blankets,Bernat,,English,1,,
Flower Cardigan in Bernat Handicrafter Cotton Solids,£0.00,Cardigans,Bernat,,English,1,,
Daisy Matinee Jacket,£3.49,Jackets,Independent Designer,jillian aldread,English,1,,Intermediate
Crochet Pattern Matinee Jacket & Bonnet UK & USA Terms #357,£5.29,Accessories,Independent Designer,ShiFio's Patterns,English,1,7,Intermediate
Crochet Baby Blanket in Bernat Softee Baby Solids,£0.00,Accessories,Bernat,,English,5,,
Baby Doll Kawaii Cuddler®,£4.26,Toys,Independent Designer,3amgracedesigns,English,1,,Beginner
Dip Edge Grey Crochet Basket in Bernat - Downloadable PDF,£0.00,Dip Edge Grey Crochet Basket in Bernat - Downloadable PDF,Bernat,Bernat Design Team,English,1,2,Beginner
Amber Sweater,£5.18,Jumpers,Independent Designer,The Crochet Village,English,1,,Intermediate
Moonlight Cardi Vest,£2.95,Jackets,Independent Designer,Maz Kwok,English,1,,Intermediate
Lemon Coasters,£2.59,Homeware,Independent Designer,HyggeCrochetCo,English,1,,Beginner
Doorstop - Owl - Amigurumi,£3.87,Homeware,Independent Designer,patterns by steph,English,1,33,Intermediate
Peyton's Blanket - Easy Crochet Baby Blanket,£2.80,Homeware,Independent Designer,Heather DiFabio,English,1,,Beginner
Sweater in Lace Pattern Mix in Schachenmayr Micro - 6300 - Downloadable PDF,£0.00,Jumpers,Schachenmayr,,"English, German",1,2,
Beginner Super Bulky Crochet Blanket Pattern,£3.33,Homeware,Independent Designer,Patternprincess,English,1,5,Beginner
Spin Your Granny Square,£3.95,Homeware,Independent Designer,Stitchedupcraft,English,1,14,Beginner
Crochet Lily of valley flowers,£2.75,Homeware,Independent Designer,T Jaik,English,1,,Intermediate
Crochet Tunic in Caron Simply Soft Light - Downloadable PDF,£0.00,Tops,Caron,,English,1,1,Beginner
Christmas gnome,£2.66,Toys,Independent Designer,SvetlanaMalyarik,"Dutch, English",1,37,Beginner
Cell Phone or Tablet Cozy in Caron Simply Soft - Downloadable PDF,£0.00,Accessories,Caron,Lorna Miser,English,3,2,Beginner
"Ernest ""The Pangolin""",£5.55,Toys,Independent Designer,Susana Rodriguez,English,1,,Intermediate
Mountain Trail Tweed Blanket,£2.95,Homeware,Independent Designer,Nana's Crafty Home,English,1,,Intermediate
Althea Tunic,£5.18,Sweaters,Independent Designer,Alex .,English,1,5,Beginner
Lacy Tank in Caron Simply Soft - Downloadable PDF,£0.00,Tops,Caron,John E. Lachett,English,1,2,Intermediate
Wheat Cabled Heirloom Baby Blanket,£3.70,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,6,Intermediate
Amigurumi Big cat,£1.63,Toys,Independent Designer,D&I CREATIONS,English,1,,Beginner
WEBS DIR08 Crocheted Goshen Jacket by Doris Chan - Crochet Pattern for Women in Valley Yarns Goshen,£3.50,Cardigans,Valley Yarns,Doris Chan,English,,7,Intermediate
Granny Square Bag,£4.44,Accessories,Independent Designer,The Purple Poncho,English,1,,Intermediate
Cherry,£0.00,Homeware,Independent Designer,KKEnjoytheMoment,English,1,5,Beginner
Cashmerino top & cowl set,£2.50,Accessories,Independent Designer,Taylor-Made Crafts NI,English,1,8,Beginner
Dahlia Dress,£4.14,Dresses,Independent Designer,Mon Petit Violon,English,1,5,Intermediate
Phone bag SL pocket,£3.55,Accessories,Independent Designer,Vivmade,English,1,9,Intermediate
Crochet V Neck Cardigan in Sirdar Cotton DK - CCSC10253 - Downloadable PDF,£0.00,Cardigans,Sirdar,,English,1,8,Intermediate
Sunflower Granny Square Bag Crochet Pattern UK and US terms,£2.45,Accessories,Independent Designer,Murricane Makes,English,1,30,Intermediate
Dreamcatcher Boho Summer Top Baby to Adult,£6.63,Tops,Independent Designer,Lisas Crochet Designz,English,1,23,Intermediate
Kamila Fitted Cardigan,£5.00,Cardigans,Independent Designer,Hooked On Patterns,English,1,19,Intermediate
Fried Egg,£0.00,Toys,Independent Designer,Many Evenings,English,1,1,Beginner
Elephant in a hot air balloon,£2.76,Homeware,Independent Designer,Birds and crickets,English,1,,Beginner
Crochet Pattern | The Jessie Bralette,£3.00,Tops,Independent Designer,Geoni's Patterns,English,1,8,Beginner
Crochet pattern keychain raindrop Rainy,£0.00,Accessories,Independent Designer,amigoll9,English,1,5,Beginner
"Chicken with flower keychains crochet pattern, Flower chicken Easter crochet gift, Mother day keychains, Chicken lover gift, Girly accessory",£2.20,Accessories,Independent Designer,tanya_tappleta,English,1,4,Beginner
Crochet chicken and rooster toy Amigurumi pattern chick Crochet ornament Easter decorations,£4.31,Toys,Independent Designer,Viktoria Petakh,English,1,14,Beginner
"Gabriel Preemie, Newborn, Baby, Toddler hat",£4.00,Hats,Independent Designer,Pure Hand Knits,English,1,24,Beginner
Skull Collar,£3.70,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
Pink Baby Hat,£2.22,Accessories,Independent Designer,Soukaina,English,1,,Beginner
Colorful Collection - Crochet Pattern For Babies in Paintbox Yarns Baby DK by Paintbox Yarns,£0.00,Hats,Paintbox Yarns,Paintbox Yarns,English,4,11,Beginner
Garden Party Sweater,£5.99,Cardigans,Independent Designer,Marly Bird,English,1,1,Beginner
Dunes Tie Skirt,£4.44,Dunes Tie Skirt,Independent Designer,Artfully Hooked,English,1,6,Beginner
"Baby Hat Lucy 3 x Preemie Sizes, Newborn, Baby",£4.00,Hats,Independent Designer,Pure Hand Knits,English,1,14,Intermediate
Fledgling Floral Bootees - Free Crochet Pattern For Babies in Paintbox Yarns Cotton DK,£0.00,Slippers,Paintbox Yarns,,English,1,5,Intermediate
Granny's Tulips Blanket,£5.00,Homeware,Independent Designer,NixknitzGB,English,1,,Beginner
Gina - floral lace baby/child cardigan,£5.50,Cardigans,Independent Designer,Vicky Chan Designs,English,1,14,Advanced
Grundl Basic Socks Guide in Gründl - Downloadable PDF,£0.00,Socks,Gründl Wolle,,"English, German",1,7,Beginner
Crochet Top & Matinee Jacket in Snuggly 4 Ply in Sirdar Snuggly - 5483 - Downloadable PDF,£0.00,Cardigans,Sirdar Snuggly,Sirdar,English,2,8,Advanced
Sunset Boho Bag,£2.28,Accessories,Independent Designer,Bonfire Crafts,English,1,5,Beginner
Basketry Handbag in Universal Yarn Yashi - Downloadable PDF,£0.00,Bags,Universal Yarn,Universal Yarn Design Team,English,1,3,Intermediate
Christmas Snowflakes Afghan Baby Blanket,£3.49,Homeware,Independent Designer,Crafting Happiness,English,1,6,Intermediate
Shark Granny Square,£1.47,Shark Granny Square,Independent Designer,Maria's Blue Crayon,English,1,,Beginner
245- Owl Cocoon Baby Crochet Pattern UK & USA Terms #245,£4.00,Homeware,Independent Designer,ShiFio's Patterns,English,1,8,Intermediate
Crochet Classic Patchwork Cardigan Pattern,£6.00,Cardigans,Independent Designer,Selina Veronique Crochet,English,1,14,Beginner
Child Hexagon Cardigan,£2.50,Cardigans,Independent Designer,Charlis Craft,English,1,,Beginner
Two’s Company Combo in Sirdar Stories - Downloadable PDF,£3.95,Two’s Company Combo in Sirdar Stories - Downloadable PDF,Sirdar,,English,1,12,Advanced
Delphine Cover-Up Top in Rowan Fine Lace - ROC010 - Downloadable PDF,£0.00,Tops,Rowan,Jennie Atkinson,"English, German",1,,Advanced
Alpine Stitch Baby Blanket,£2.54,Homeware,Independent Designer,Haak Maar Raak,"Dutch, English",1,18,Intermediate
Ridge Baby Blanket - Free Crochet Pattern For Babies in Paintbox Yarns Baby DK Prints by Paintbox Yarns,£0.00,Blankets,Paintbox Yarns,,English,1,3,Intermediate
Pjeter and Petra Puffin,£3.50,Toys,Independent Designer,Moji-Moji Design,English,1,11,Intermediate
Crochet Pattern Mini Hug-Goose Amigurumi,£1.84,Toys,Independent Designer,EdemiFamily,English,1,14,Beginner
Quick Pumpkin,£0.00,Homeware,Independent Designer,Jade Gauthier-Boutin,"English, French",1,10,Beginner
Cupcake Sweater,£4.14,Sweaters,Independent Designer,Mon Petit Violon,English,1,7,Intermediate
12 Days of Christmas,£18.50,Homeware,Independent Designer,Crochet to Play,English,1,,Intermediate
Pumpkin Coaster,£0.00,Homeware,Independent Designer,Jade Gauthier-Boutin,"English, French",1,12,Beginner
Biscuit the Beagle,£2.59,Toys,Independent Designer,Theresa,English,1,7,Intermediate
Simple crochet bralette || Marigold Bralette top,£1.85,Tops,Independent Designer,Bobo Stitches,English,1,,Intermediate
Skull Applique Pattern,£0.00,Skull Applique Pattern,Independent Designer,Storm & Zoe,English,1,6,Beginner
Positano Tee,£2.85,Tops,Independent Designer,Olivia Kent,English,1,,Intermediate
Halloween Granny Squares,£13.80,Halloween Granny Squares,Independent Designer,RaffamusaDesigns,English,1,,Beginner
Floral Coaster,£0.00,Homeware,Independent Designer,Jolie Stitch Designs,English,1,,Beginner
Bohemian Weave Hairpin Top,£4.26,Tops,Independent Designer,Kristen Stein Designs,English,1,,Intermediate
Ophelia Cardigan,£4.31,Cardigans,Independent Designer,Ana Pizzo,English,1,9,Intermediate
Meredith Lined/Reversible Coat Set,£4.00,Blankets,Independent Designer,Ready For Cwtches Designs,English,1,7,Intermediate
The Winter Warmer - Free Jacket Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,£0.00,Coats,Paintbox Yarns,,English,1,5,Intermediate
Mini Animal Zip Bag,£1.47,Accessories,Independent Designer,Catherine Wang,English,1,5,Beginner
"Lucas Baby Cardigan, Hat & Booties",£4.90,Booties,Independent Designer,Precious Newborn Knits,English,1,5,Intermediate
Granny Stitch Top,£2.95,Jumpers,Independent Designer,Littlejohn's Yarn,English,1,2,Intermediate
Heart Plush,£0.00,Toys,Independent Designer,Adri Brits,English,1,,Beginner
Goldendoodle Dog Crochet Pattern,£5.11,Toys,Independent Designer,Ambercraftstore,English,1,15,Intermediate
Large(r) Whale Shark,£0.00,Toys,Independent Designer,@kirby_crochets,English,1,4,Intermediate
The Haven Blanket,£3.70,Homeware,Independent Designer,Nicky Jewels and Jones,English,1,,Beginner
Simple Crochet Vest,£4.00,Waistcoats,Independent Designer,Esther Kate,English,1,5,Intermediate
Hooded Double Breasted Jacket and Helmet - P105,£5.50,Coats,Independent Designer,OGE Knitwear Designs,English,1,4,Intermediate
Lilyrose Baby Jacket UK & USA Terms #372,£4.00,Jackets,Independent Designer,ShiFio's Patterns,English,1,8,Intermediate
Gardi Cardi,£2.00,Cardigans,Independent Designer,Sam Hermes,English,1,10,Intermediate
Super Chunky Hat and Snood Set,£2.00,Accessories,Independent Designer,Stylish Stitches Crochet,English,1,9,Beginner
Tessellation Blanket in Stylecraft Special DK - 9683 - Downloadable PDF,£3.00,Tessellation Blanket in Stylecraft Special DK - 9683 - Downloadable PDF,Stylecraft,,English,1,6,Advanced Beginner
Ragnailt,£2.59,Tops,Independent Designer,Caroline Murphy,English,1,4,Intermediate
One Ball Crocheted Scarf in Lion Brand Scarfie - L50090P - Downloadable PDF,£0.00,Scarves & Shawls,Lion Brand,,English,1,2,Beginner
Diamond Breeze Cropped Top,£6.11,Tops,Independent Designer,Karmen Režek,English,1,12,Intermediate
Coins Purse or Sewing Necessaire Crochet Pattern,£2.56,Accessories,Independent Designer,Cherry Berry Crochet,"English, German",1,,Beginner
Little Pumpkin Pompom Hat Baby Children Women Halloween Fall Thanksgiving,£3.33,Hats,Independent Designer,Tara Marie,English,1,,Beginner
Darling Buds of May Blanket,£3.75,Homeware,Independent Designer,Hattie Risdale,English,1,11,Beginner
Paros Mobile Pouch,£0.00,Accessories,Independent Designer,Nono Green Design,English,1,6,Intermediate
Elvish Teeny Tiny Hat,£0.00,Hats,Independent Designer,Alexandra Davidoff,English,1,2,Intermediate
Seabreeze Shawl,£2.96,Accessories,Independent Designer,Raine Eimre,English,1,5,Beginner
The Alchemy Cardigan CAL,£5.55,Cardigans,Independent Designer,Jess Coppom Make & Do Crew,English,1,34,Intermediate
Beach Bag,£0.00,Accessories,Independent Designer,Annemarie Benthem,English,1,4,Beginner
Flamingo,£6.90,Toys,Independent Designer,Ekaterina Borisova,"Dutch, English, German",1,63,Intermediate
"Pinafore, Dress and Cardigans in Sirdar Snuggly DK - 5205 - Downloadable PDF",£3.85,Cardigans,Sirdar Snuggly,Sirdar,English,4,4,Intermediate
Elephant Applique,£1.90,Elephant Applique,Independent Designer,BabyCrochetDesigns,English,1,8,Beginner
C2C Tshirt,£5.00,Tops,Independent Designer,Yarn Family,English,1,10,Intermediate
"""Midsummer Night Tunic"" - Free Dress Crochet Pattern For Women in Paintbox Yarns Cotton DK - COT-CRO-WOM-004",£0.00,Dresses,Paintbox Yarns,,,,,Intermediate
African Flower Waistcoat,£4.50,Waistcoats,Independent Designer,The Missing Yarn - Cassie Ward,English,1,12,Intermediate
Leora Summer Top,£5.00,Tops,Independent Designer,Hooked On Patterns,English,1,12,Intermediate
The EZ Breezy white sweater,£3.67,Sweaters,Independent Designer,Crojennifer,English,1,7,Beginner
Rebel Crochet Vest and Sweater,£5.09,Jumpers,Independent Designer,Lisas Crochet Designz,English,1,21,Intermediate
"Marley Mae Square, a Legacy Square",£0.00,"Marley Mae Square, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,20,Intermediate
Macaw parrots,£3.28,Toys,Independent Designer,MariyaStany,"English, French, German",1,85,Intermediate
Mellow waves,£5.00,Boleros,Independent Designer,Dora Does,English,1,21,Intermediate
Dark Sky Shawl in Cascade Yarns Whirligig - DK603 - Downloadable PDF,£0.00,Shawls,Cascade Yarns,Cascade Yarns Design Team,English,1,4,Intermediate
Child's Cabled Neck Warmer,£4.07,Accessories,Independent Designer,Lisa van Klaveren,English,1,,Intermediate
Crochet Device and  book sleeve,£4.07,Crochet Device and  book sleeve,Independent Designer,Stephanie Anderson,English,1,5,Beginner
Hippo snuggler crochet pattern,£4.14,Toys,Independent Designer,Diminu,English,1,15,Intermediate
Simple Toddler Sweater,£3.66,Sweaters,Independent Designer,SICK 'LIL MONKEYS,English,,,
Amarië Earwarmer,£0.00,Headbands,Independent Designer,K.A.M.E. Crochet,"English, Hungarian",1,9,Intermediate
Diamonds of the Night Shawl,£4.28,Accessories,Independent Designer,Created by Carolien,English,1,,Intermediate
3-6 months - NEO Crochet Baby  Leggings,£3.44,3-6 months - NEO Crochet Baby  Leggings,Independent Designer,Creativa Atelier,English,1,5,Intermediate
Mary Kate Vest in Caron Simply Soft Party - Downloadable PDF,£0.00,Waistcoats,Caron,Kimberly K. McAlindin,English,1,3,Beginner
Crochet Flowers T-shirt,£3.88,Tops,Independent Designer,PDFCrochetPattern4u,"English, Spanish",1,,Intermediate
Ceallaigh,£2.59,Tops,Independent Designer,Caroline Murphy,English,1,,Intermediate
Hedgehogs,£3.25,Toys,Independent Designer,The Puffling,English,1,8,Intermediate
Laura's Cowl,£4.07,Accessories,Independent Designer,Sweet Hues/Blu Daisy Creations,English,1,,Beginner
Do Gooder,£0.00,Hats,Independent Designer,Sharon Mooney,English,1,3,Beginner
Rainbow Starlight Blanket,£3.50,Homeware,Independent Designer,K.A.M.E. Crochet,English,1,17,Intermediate
Rosetto Twin Set in Adriafil Uno A Ritorto 5 - Downloadable PDF,£0.00,Dresses,Adriafil,,English,6,5,
Peplum Tank Top,£2.95,Tops,Independent Designer,Maz Kwok,English,1,,Intermediate
Positivity Spiral Cowl,£5.00,Accessories,Independent Designer,Fay Dashper-Hughes,English,1,,Beginner
Puppy Dog Filet Blanket,£3.70,Homeware,Independent Designer,Jessica S.,English,1,,Beginner
Baby Puffin in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,£0.00,Baby Puffin in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,Lion Brand,,English,1,6,Beginner
The Sadie Top,£2.67,Tops,Independent Designer,Life and Yarn,English,1,,Beginner
Basic crochet basket,£0.00,Homeware,Independent Designer,Sam Pratt,English,1,1,Beginner
Harvest Moon Floral Block Extension,£1.85,Homeware,Independent Designer,The Floral Hook,English,1,92,Intermediate
Crochet Poppy,£0.00,Crochet Poppy,Independent Designer,BabyCrochetDesigns,English,1,4,Beginner
Be Like a Sunflower,£2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,,Beginner
Owl Hedwig keychain / Harry Potter character,£2.95,Toys,Independent Designer,Svitlana Yakobets,English,1,3,Intermediate
Sweet Dreams Sleep Mask - Free Accessory Crochet Pattern in Paintbox Yarns Baby DK,£0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,5,Beginner
Unicorn Keychain,£2.96,Toys,Independent Designer,Little Bamboo Handmade,English,1,8,Beginner
Alana Vintage Style Pretty Alice Wide Corsage Lace Edging Headband Knitting and Crochet Pattern by Adel Kay,£2.50,Accessories,Independent Designer,Adel Kay Knit Designer,English,1,3,Intermediate
MALE FLIGHT ATTENDANT,£4.43,Toys,Independent Designer,KiwiCuddlies,English,1,,Beginner
Evidence of Hope Bookmark,£2.96,Homeware,Independent Designer,Kirsten Holloway,English,1,11,Intermediate
Crochet Rose Lily flowers,£2.50,Homeware,Independent Designer,T Jaik,English,1,,Intermediate
Night and Light dragon fury,£3.33,Toys,Independent Designer,Weaving Magic,English,1,,Intermediate
Mini Penguin Amigurumi Keychain,£0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Painted Anemone Doily and Potholder,£3.50,Homeware,Independent Designer,Sandra Paul,English,1,12,Intermediate
Nemea Shawl,£3.89,Accessories,Independent Designer,flyingflowerflourishes,English,1,,Beginner
Amigurumi Penis deer,£3.33,Toys,Independent Designer,Vitastoys,English,1,25,Intermediate
Reina Cardigan,£4.44,Cardigans,Independent Designer,Jennifer Renaud,English,1,,Beginner
"Alex from ""Minecraft"" by AradiyaToys",£2.95,Toys,Independent Designer,AradiyaToys,English,1,24,Intermediate
Santa Coaster Free Crochet Patterns for Christmas - Christmas Decoration - Christmas Ornament,£0.00,Homeware,Independent Designer,Kathy Leung,English,1,4,Beginner
Sunflower Granny Square,£2.22,Cushions,Independent Designer,Crossmanknits,English,1,3,Intermediate
Lazy Daisy Cardigan,£5.00,Cardigans,Independent Designer,Sam Sabido Crochets,English,1,6,Intermediate
CROCHET Baby Blanket / Afghan - Pastel Aquamarine,£2.95,Homeware,Independent Designer,Pattern World,English,1,2,Intermediate
Humphrey the Tortoise,£3.63,Toys,Independent Designer,C.B.Makes,English,1,10,Beginner
Car Hanging Pothos Plant,£1.95,Homeware,Independent Designer,Alina Handmade,English,1,6,Beginner
3 Hour Afghan Crochet Pattern,£1.85,Homeware,Independent Designer,Crochet Dreamz,English,1,,Beginner
Longstocking Fan Hat,£2.95,Accessories,Independent Designer,Bonnie Bay Crochet,English,1,5,Beginner
Rose Garden Granny Square Scarf,£2.96,Accessories,Independent Designer,Diana Holdridge,English,1,3,Beginner
The Lorax,£0.74,Toys,Independent Designer,Erin's Toy Store,English,1,,Beginner
Ivy plant,£2.50,Homeware,Independent Designer,T Jaik,English,1,,Beginner
Bailey Cardigan & Hat,£5.00,Hats,Independent Designer,Little Fig,English,1,8,Beginner
Amphitrite Sweater,£5.13,Jumpers,Independent Designer,Nono Green Design,English,1,6,Intermediate
4 Layer Big Crochet flower with open centre,£1.99,4 Layer Big Crochet flower with open centre,Independent Designer,Luba Davies,English,1,,Intermediate
Sunny Sunflower,£0.00,Homeware,Independent Designer,Chroma Crochet,English,1,2,Intermediate
Bianca and Luna Dolls Crochet Amigurumi,£3.02,Toys,Independent Designer,Sara Barbosa,English,1,18,Intermediate
Chestnut Sweater,£5.18,Sweaters,Independent Designer,The Crochet Village,English,1,12,Intermediate
Lulworth Crochet Dishcloth,£0.00,Homeware,Independent Designer,Nina Attridge,English,1,5,Beginner
Alpine Shawl in Cascade Ultra Pima - DK234,£0.00,Shawls,Cascade Yarns,Cristina Mershon,English,1,6,Intermediate
Hello Sunshine Cushion and Blanket,£4.00,Cushions,Independent Designer,Hattie Risdale,English,1,21,Intermediate
Premature Small Baby Knitting Pattern For 5 Hats,£3.75,Hats,Independent Designer,Scotlands Crafty Sisters,English,1,2,Intermediate
Fierce Little Dragon,£0.00,Toys,Independent Designer,Lucy Collin,"Dutch, English, French, German",1,7,Intermediate
Willow Cardigan,£2.74,Cardigans,Independent Designer,For The Frills | Grace,English,1,,Beginner
Amigurumi Cute Turtle,£1.29,Toys,Independent Designer,D&I CREATIONS,English,1,,Beginner
Radiating Squares Tunisian Crochet Blanket,£5.00,Homeware,Independent Designer,A Spring Snowflake,English,1,3,Beginner
"3 in 1 The Weekend, Mini & Diamante Granny Bags",£3.60,Accessories,Independent Designer,Sew Hooky,English,1,29,Intermediate
Truffle Ruffle Dress,£3.71,Dresses,Independent Designer,Mon Petit Violon,English,1,4,Intermediate
Terrazzo Tank Top,£3.33,Tops,Independent Designer,For The Frills | Grace,English,1,,Intermediate
Siwatl Top,£6.00,Tops,Independent Designer,Nomad Stitches,English,1,8,Intermediate
Love is in the Square Blanket,£4.99,Homeware,Independent Designer,Dee,English,1,4,Intermediate
Crochet bag pattern: The Serene bag pattern,£3.55,Accessories,Independent Designer,Mirrymas,English,1,8,Intermediate
Crochet halter top with grannies _ C09,£4.31,Tops,Independent Designer,Akari Crochet Patterns,English,1,12,Intermediate
Spica Embossed Crochet Bag,£4.07,Accessories,Independent Designer,Natalia Kononova,English,1,16,Intermediate
Patch Knot Bag,£1.48,Accessories,Independent Designer,Auburn Threads,English,1,4,Intermediate
Pink Ribbon Shawl in Caron Simply Soft - Downloadable PDF,£0.00,Shawls,Caron,KJ Hay,English,1,2,Beginner
Dusk Hooded Cowl,£0.00,Accessories,Independent Designer,Knit and Crochet Ever After,English,1,,Beginner
"12"" Slender Doll Base, Girl Body Figure",£4.44,Toys,Independent Designer,Sweet Softies,English,1,,Intermediate
The bagrielle snuggy,£0.00,Sweaters,Independent Designer,Les.Terribles,English,1,7,Beginner
Crochet bunny pattern baby rattle toy Amigurumi rabbit teether,£2.76,Toys,Independent Designer,Viktoria Petakh,English,1,8,Beginner
Fractal,£2.34,Homeware,Independent Designer,Foxberryjam,"English, Finnish",1,6,Beginner
Dylan the Dolphin - US Terminology - Amigurumi,£2.50,Amigurumi,Independent Designer,Little Green Bear,English,1,8,Intermediate
Basic Babies Raglan Cardigan and Hat,£3.00,Hats,Independent Designer,Ruth Maddock,English,1,7,Intermediate
Knitting & Crochet Pattern for a Cornish Pasty and Chips / Fries - Knitted Toy Food,£2.25,Toys,Independent Designer,Bottletopboy,English,1,,Beginner
Sunflower Earring,£0.00,Accessories,Independent Designer,Elemental Knots,English,1,7,Intermediate
Textured cushion cover & tissue box,£1.20,Cushions,Independent Designer,Taylor-Made Crafts NI,English,1,14,Beginner
Easy Winter Beanie,£0.00,Accessories,Independent Designer,Sarah Thompson,English,1,3,Beginner
Alien Xenomorph - Crochet Amigurumi Pattern - Downloadable PDF,£3.88,Toys,Independent Designer,WoollyCubs,English,1,,Beginner
40 Fruits and Vegetables Crochet Patterns,£8.00,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
Olivia the Owl,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Beginner
Midnight Blossoms Throw,£6.29,Homeware,Independent Designer,Apple Blossom Dreams,English,1,,Intermediate
Danny the Friendly Dinosaur,£4.07,Toys,Independent Designer,Michelle Alvarez,English,1,13,Intermediate
Cuddly Doggy Comforter,£4.56,Toys,Independent Designer,Olive's Toy Box,English,1,14,Beginner
"Knitting & Crochet Pattern for Ham, Fried Egg and Chips / Fries - Crocheted Play Food",£2.50,Toys,Independent Designer,Bottletopboy,English,1,,Beginner
Ataraxia,£5.92,Tops,Independent Designer,Alice.in.Crochetland,English,1,,Beginner
Snowman Friends,£0.00,Toys,Independent Designer,Rupinder  Kaur,English,1,,Beginner
Teacup Piglet,£3.00,Toys,Independent Designer,Lex in Stitches,English,1,8,Beginner
Whispering Rose Summer Top,£3.90,Tops,Independent Designer,Jera's Jamboree,English,1,15,Beginner
Headphone case,£0.00,Homeware,Independent Designer,Ewelina Cherry Tree Workshop,"English, Polish",1,20,Beginner
Barbie crochet princess dresses,£1.50,Toys,Independent Designer,linmaryknits,English,1,6,Beginner
Super star dress,£3.50,Dresses,Independent Designer,Olga Maslennikova,English,1,5,Advanced
Heart sweater,£5.11,Sweaters,Independent Designer,Accessorise,English,,8,Advanced
Cardigan and Waistcoat in Sirdar Cotton DK - 7072 - Downloadable PDF,£3.85,Waistcoats,Sirdar,,English,2,4,
Autumn Waves Blanket,£4.31,Homeware,Independent Designer,Marina Nikolaidou,English,1,5,Beginner
Cinnamon Swirl Sweater - Free Jumper Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,£0.00,Jumpers,Paintbox Yarns,,English,1,4,Advanced
Roll Brim Baby Bear Beanie,£2.99,Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,3,Intermediate
Daisy and Duke the Dachshunds,£3.50,Toys,Independent Designer,Moji-Moji Design,English,1,13,Beginner
Hamster,£0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Advanced
